Initialization done, evaluating initial agents...
Initialization done, took 0.00 seconds
Agent: {'x': 92.92536380833467, 'y': 93.65906952183566, 'level': np.str_('c')}, Fitness: 17397.1445426074
Agent: {'x': 95.76012256181458, 'y': 100.59507038065624, 'level': np.str_('c')}, Fitness: 19279.369257942933
Agent: {'x': 95.76012256181458, 'y': 100.59507038065624, 'level': np.str_('b')}, Fitness: 19289.369257942933
Agent: {'x': 94.88871007447086, 'y': 98.7715659438696, 'level': np.str_('b')}, Fitness: 18759.689538601167
Agent: {'x': 88.78452297740354, 'y': 87.97699641166409, 'level': np.str_('b')}, Fitness: 15622.643417943054
Agent: {'x': 103.82588403459422, 'y': 91.7905377417649, 'level': np.str_('b')}, Fitness: 19205.317014487373
Agent: {'x': 109.55088162785357, 'y': 76.63386832506079, 'level': np.str_('b')}, Fitness: 17874.14543990274
Agent: {'x': 81.56435276017027, 'y': 100.11289281677877, 'level': np.str_('c')}, Fitness: 16665.334949329328
Agent: {'x': 101.49516908224665, 'y': 105.02421104255075, 'level': np.str_('c')}, Fitness: 21321.354252144076
Agent: {'x': 112.64644911519257, 'y': 91.19488665948597, 'level': np.str_('b')}, Fitness: 21005.72985109816
Agent: {'x': 95.24475142186752, 'y': 98.34222976868563, 'level': np.str_('b')}, Fitness: 18742.756829290294
Agent: {'x': 99.5057611474466, 'y': 103.73389944001362, 'level': np.str_('b')}, Fitness: 20662.11839456355
Agent: {'x': 95.76012256181458, 'y': 100.59507038065624, 'level': np.str_('c')}, Fitness: 19279.369257942933
Agent: {'x': 99.46052150809513, 'y': 113.1516722427488, 'level': np.str_('c')}, Fitness: 22685.696269992703
Agent: {'x': 109.64965768438455, 'y': 102.5622177642276, 'level': np.str_('b')}, Fitness: 22542.055943019554
Agent: {'x': 101.65698137103765, 'y': 80.71830981653275, 'level': np.str_('c')}, Fitness: 16839.587401109264
Agent: {'x': 93.32232338781753, 'y': 103.09613596941533, 'level': np.str_('c')}, Fitness: 19327.86929432457
Agent: {'x': 108.48931864209197, 'y': 82.42703870216734, 'level': np.str_('c')}, Fitness: 18554.148968633956
Agent: {'x': 94.88871007447086, 'y': 98.7715659438696, 'level': np.str_('b')}, Fitness: 18759.689538601167
Agent: {'x': 89.70528525994858, 'y': 110.24806801682637, 'level': np.str_('b')}, Fitness: 20201.67470501152
Agent: {'x': 103.68560690149029, 'y': 93.42318121970983, 'level': np.str_('c')}, Fitness: 19468.595867741114
Agent: {'x': 92.92536380833467, 'y': 93.65906952183566, 'level': np.str_('b')}, Fitness: 17407.1445426074
Agent: {'x': 99.5057611474466, 'y': 103.73389944001362, 'level': np.str_('b')}, Fitness: 20662.11839456355
Agent: {'x': 102.55080694782781, 'y': 97.68502590373294, 'level': np.str_('c')}, Fitness: 20049.032291463624
Agent: {'x': 90.10387820721604, 'y': 90.34948914228069, 'level': np.str_('b')}, Fitness: 16281.739056251918
Agent: {'x': 92.78852420243389, 'y': 92.23704165505778, 'level': np.str_('b')}, Fitness: 17117.382076942522
Agent: {'x': 96.53704373299897, 'y': 112.20005782639605, 'level': np.str_('b')}, Fitness: 21908.253788953574
Agent: {'x': 90.10387820721604, 'y': 96.17599970669089, 'level': np.str_('b')}, Fitness: 17368.531787562228
Agent: {'x': 95.08380611483426, 'y': 116.18706337431767, 'level': np.str_('c')}, Fitness: 22530.363880831104
Agent: {'x': 95.24475142186752, 'y': 98.34222976868563, 'level': np.str_('b')}, Fitness: 18742.756829290294
Agent: {'x': 99.5057611474466, 'y': 103.73389944001362, 'level': np.str_('b')}, Fitness: 20662.11839456355
Agent: {'x': 81.56435276017027, 'y': 115.58359754447568, 'level': np.str_('c')}, Fitness: 20002.31166250882
Agent: {'x': 94.8552418577961, 'y': 82.9010013293797, 'level': np.str_('b')}, Fitness: 15870.092929314807
Agent: {'x': 93.48134768357131, 'y': 115.96163655014495, 'level': np.str_('b')}, Fitness: 22185.863516124657
Agent: {'x': 95.79690743356265, 'y': 91.40386207732377, 'level': np.str_('c')}, Fitness: 17521.713476484998
Agent: {'x': 94.8552418577961, 'y': 82.9010013293797, 'level': np.str_('b')}, Fitness: 15870.092929314807
Agent: {'x': 98.6016683584909, 'y': 91.59915784860206, 'level': np.str_('b')}, Fitness: 18112.694721650943
Agent: {'x': 77.65526806634162, 'y': 89.9778134923589, 'level': np.str_('b')}, Fitness: 14126.3475793211
Agent: {'x': 92.93128526519183, 'y': 95.52717592457186, 'level': np.str_('b')}, Fitness: 17761.665121164562
Agent: {'x': 101.65698137103765, 'y': 80.71830981653275, 'level': np.str_('b')}, Fitness: 16849.587401109264
Agent: {'x': 109.04528486758733, 'y': 81.34348827515161, 'level': np.str_('b')}, Fitness: 18507.637236623
Agent: {'x': 106.31922525748807, 'y': 114.30496539388497, 'level': np.str_('b')}, Fitness: 24369.40277304973
Agent: {'x': 100.91034511577334, 'y': 107.85432247077091, 'level': np.str_('c')}, Fitness: 21805.452627013517
Agent: {'x': 92.93128526519183, 'y': 95.52717592457186, 'level': np.str_('b')}, Fitness: 17761.665121164562
Agent: {'x': 123.40423651817314, 'y': 79.24187960533433, 'level': np.str_('b')}, Fitness: 21507.88107401952
Agent: {'x': 77.65526806634162, 'y': 89.9778134923589, 'level': np.str_('b')}, Fitness: 14126.3475793211
Agent: {'x': 81.51291015640356, 'y': 99.06389740656502, 'level': np.str_('b')}, Fitness: 16458.01029154436
Agent: {'x': 104.8602125090616, 'y': 108.60458014972265, 'level': np.str_('b')}, Fitness: 22790.618996943092
Agent: {'x': 109.34303274041581, 'y': 95.5000187095236, 'level': np.str_('b')}, Fitness: 21076.152382391003
Agent: {'x': 100.61108798787981, 'y': 93.20590222723341, 'level': np.str_('b')}, Fitness: 18809.931236097487
Agent: {'x': 98.27167010059074, 'y': 89.17576216937007, 'level': np.str_('b')}, Fitness: 17609.637702847394
Agent: {'x': 100.61108798787981, 'y': 93.20590222723341, 'level': np.str_('b')}, Fitness: 18809.931236097487
Agent: {'x': 102.87079696934337, 'y': 101.0407161277152, 'level': np.str_('b')}, Fitness: 20791.627184709392
Agent: {'x': 92.0408530677661, 'y': 100.72745529151435, 'level': np.str_('b')}, Fitness: 18617.53888294613
Agent: {'x': 102.30400100348805, 'y': 101.68158588317884, 'level': np.str_('b')}, Fitness: 20805.25352903996
Agent: {'x': 91.77464032348509, 'y': 98.94032276689559, 'level': np.str_('c')}, Fitness: 18201.772075722532
Agent: {'x': 97.75826407152236, 'y': 93.68565538285033, 'level': np.str_('c')}, Fitness: 18323.68021879169
Agent: {'x': 100.24454746908513, 'y': 100.21925583149762, 'level': np.str_('c')}, Fitness: 20082.868536700833
Agent: {'x': 91.91619980357207, 'y': 94.44314453797354, 'level': np.str_('c')}, Fitness: 17358.095336550745
Agent: {'x': 101.3438660003808, 'y': 91.27863536694905, 'level': np.str_('c')}, Fitness: 18592.36845035558
Agent: {'x': 87.13770672372625, 'y': 88.56278173662874, 'level': np.str_('c')}, Fitness: 15426.346241999869
Agent: {'x': 101.28007821116101, 'y': 112.4161651815854, 'level': np.str_('a')}, Fitness: 22905.048436592384
Agent: {'x': 82.00017020528378, 'y': 105.57802487281083, 'level': np.str_('b')}, Fitness: 17870.747249739372
Agent: {'x': 102.29291053357271, 'y': 107.83215051950668, 'level': np.str_('c')}, Fitness: 22081.612231091058
Agent: {'x': 106.34140122541848, 'y': 108.60458014972265, 'level': np.str_('b')}, Fitness: 23103.44844408297
Agent: {'x': 95.46231461701821, 'y': 103.80335058680953, 'level': np.str_('b')}, Fitness: 19888.189105086658
Agent: {'x': 100.24454746908513, 'y': 100.21925583149762, 'level': np.str_('c')}, Fitness: 20082.868536700833
Agent: {'x': 85.13301081660298, 'y': 95.62300883337461, 'level': np.str_('a')}, Fitness: 16401.389349047477
Agent: {'x': 99.5553982912638, 'y': 101.72385678831422, 'level': np.str_('b')}, Fitness: 20259.02036882163


Generation 2/300 done, best fitness: 13753.046023964773, best agent: {'x': 77.65526806634162, 'y': 87.87892446718608, 'level': np.str_('b')}
It took 0.00 seconds
